dataset,tool,threads,wall_s,reads_in,reads_out
WGS_PE_18.2G,fastp_cpu,8,225.074449843,234238034,217840930
WGS_PE_18.2G,rabbitqcplus,8,234.102387724,234238034,217840930
WGS_PE_18.2G,fastp_cpu,32,109.595880872,234238034,217840930
WGS_PE_18.2G,rabbitqcplus,32,98.179067003,234238034,217840930
WGS_PE_40G,fastp_cpu,8,782.876725760,722563222,717214748
WGS_PE_40G,rabbitqcplus,8,1057.474863268,722563222,717214748
WGS_PE_40G,fastp_cpu,32,394.846312450,722563222,717214748
WGS_PE_40G,rabbitqcplus,32,331.577818485,722563222,717214748
